Image,Avg. Confidence,Response Time(s),CPU Consumption(%),Detection boxes
000000020806.jpg, 0.863870, 0.22754, 40.8, 2
000000503824.jpg, 0.920589, 0.20834, 45.1, 2
000000262547.jpg, 0.531111, 0.19259, 45.5, 17
000000550715.jpg, 0.730861, 0.21771, 45.8, 2
000000235143.jpg, 0.458339, 0.23488, 47.3, 2
000000546336.jpg, 0.301831, 0.21492, 47.9, 3
000000137720.jpg, 0.736827, 0.21868, 47.4, 5
000000317636.jpg, 0.638529, 0.30086, 50.7, 7
000000402907.jpg, 0.831926, 0.21107, 47.5, 3
000000214125.jpg, 0.573827, 0.22441, 49.1, 13
000000426048.jpg, 0.912728, 0.22541, 47.0, 1
000000062944.jpg, 0.736624, 0.22632, 47.4, 6
000000182120.jpg, 0.654126, 0.22687, 46.9, 3
000000360692.jpg, 0.855901, 0.21423, 48.1, 3
000000150940.jpg, 0.525657, 0.21344, 47.6, 17
000000077798.jpg, 0.758892, 0.22466, 50.5, 2
000000196886.jpg, 0.707159, 0.25210, 45.9, 6
000000010288.jpg, 0.423656, 0.22807, 48.9, 5
000000532597.jpg, 0.422128, 0.21794, 48.3, 6
000000510862.jpg, 0.617576, 0.21401, 49.6, 10
000000406464.jpg, 0.820010, 0.29744, 51.8, 2
000000070506.jpg, 0.844122, 0.22854, 50.7, 1
000000357376.jpg, 0.583464, 0.22673, 53.0, 28
000000089302.jpg, 0.626001, 0.21444, 47.9, 7
000000284162.jpg, 0.740414, 0.23669, 48.5, 4
000000276234.jpg, 0.706438, 0.23557, 47.3, 5
000000139061.jpg, 0.703406, 0.23350, 52.1, 5
000000231968.jpg, 0.705580, 0.21135, 48.0, 7
000000528942.jpg, 0.910742, 0.22470, 52.8, 1
000000196913.jpg, 0.687910, 0.23345, 55.6, 11
000000443309.jpg, 0.587147, 0.22650, 52.8, 19
000000156758.jpg, 0.684070, 0.24670, 53.5, 9
000000119692.jpg, 0.571839, 0.23568, 50.1, 17
000000286337.jpg, 0.931986, 0.21911, 48.5, 1
000000454034.jpg, 0.671452, 0.22055, 49.1, 14
000000168743.jpg, 0.598196, 0.22605, 53.8, 9
000000495952.jpg, 0.523820, 0.22924, 49.2, 11
000000182421.jpg, 0.839002, 0.22995, 49.5, 2
000000014024.jpg, 0.592645, 0.21875, 48.1, 4
000000465971.jpg, 0.672889, 0.21763, 47.1, 11
000000292565.jpg, 0.718137, 0.23810, 50.0, 1
000000013958.jpg, 0.809173, 0.21518, 49.6, 1
000000392900.jpg, 0.682223, 0.22729, 53.8, 19
000000568350.jpg, 0.924421, 0.21834, 48.6, 2
000000569882.jpg, 0.000000, 0.22391, 47.7, 0
000000024075.jpg, 0.507751, 0.23014, 49.2, 12
000000273530.jpg, 0.733698, 0.23695, 52.5, 3
000000249568.jpg, 0.414484, 0.22399, 48.0, 13
000000236608.jpg, 0.642162, 0.23895, 52.6, 9
000000380805.jpg, 0.634824, 0.22079, 45.4, 3
000000540441.jpg, 0.596181, 0.23703, 46.3, 4
000000354230.jpg, 0.899750, 0.25343, 49.9, 2
000000220612.jpg, 0.569386, 0.21656, 47.9, 9
000000160526.jpg, 0.638669, 0.23107, 47.5, 10
000000312664.jpg, 0.815523, 0.22693, 46.4, 8
000000052327.jpg, 0.575913, 0.21749, 46.6, 33
000000176438.jpg, 0.438977, 0.22119, 43.2, 3
000000339033.jpg, 0.880168, 0.21854, 48.5, 1
000000120469.jpg, 0.729321, 0.23144, 46.8, 4
000000245395.jpg, 0.601425, 0.23400, 49.8, 23
000000533740.jpg, 0.365349, 0.22969, 50.9, 2
000000128129.jpg, 0.735707, 0.30098, 48.6, 6
000000405124.jpg, 0.607049, 0.21590, 48.1, 4
000000303384.jpg, 0.848895, 0.23294, 50.8, 4
000000224591.jpg, 0.522298, 0.23154, 45.8, 13
000000373680.jpg, 0.951331, 0.24639, 52.1, 2
000000131177.jpg, 0.690841, 0.21730, 49.2, 2
000000121544.jpg, 0.707580, 0.22312, 52.8, 3
000000023324.jpg, 0.483281, 0.23320, 48.4, 5
000000161297.jpg, 0.929799, 0.21802, 48.1, 1
000000137932.jpg, 0.882894, 0.23089, 50.3, 2
000000251472.jpg, 0.763559, 0.22969, 51.2, 4
000000005403.jpg, 0.517438, 0.23723, 48.3, 23
000000307793.jpg, 0.804565, 0.18755, 47.4, 3
000000268417.jpg, 0.897707, 0.22282, 52.7, 2
000000516869.jpg, 0.902359, 0.21717, 50.1, 3
000000572501.jpg, 0.530635, 0.21947, 49.3, 3
000000558838.jpg, 0.691549, 0.23645, 51.6, 16
000000581417.jpg, 0.606434, 0.22948, 48.3, 5
000000411490.jpg, 0.698295, 0.21565, 45.6, 17
000000361084.jpg, 0.632547, 0.21975, 48.2, 21
000000150936.jpg, 0.911294, 0.21967, 48.6, 2
000000511010.jpg, 0.848174, 0.21795, 46.9, 2
000000129734.jpg, 0.926920, 0.21722, 48.8, 1
000000238540.jpg, 0.379735, 0.23475, 51.0, 6
000000276355.jpg, 0.906246, 0.22943, 48.5, 2
000000481811.jpg, 0.636445, 0.21981, 48.4, 8
000000056745.jpg, 0.686450, 0.22906, 48.8, 8
000000132653.jpg, 0.857337, 0.23122, 49.2, 1
000000519082.jpg, 0.533236, 0.18894, 47.0, 2
000000293149.jpg, 0.748617, 0.23167, 52.9, 7
000000400824.jpg, 0.675972, 0.23306, 48.7, 10
000000333957.jpg, 0.634644, 0.23174, 48.1, 14
000000420632.jpg, 0.588124, 0.21899, 50.0, 3
000000500047.jpg, 0.905530, 0.30330, 52.3, 1
000000369926.jpg, 0.513162, 0.23269, 51.6, 2
000000401069.jpg, 0.629218, 0.21780, 48.2, 14
000000212889.jpg, 0.629108, 0.20419, 48.4, 11
000000000725.jpg, 0.881214, 0.22033, 50.0, 2
000000074878.jpg, 0.795318, 0.22004, 48.8, 1
