Image,Avg. Confidence,Response Time(s),CPU Consumption(%),Detection boxes
000000020806.jpg, 0.670809, 0.12478, 37.4, 3
000000503824.jpg, 0.909971, 0.11505, 44.0, 2
000000262547.jpg, 0.460434, 0.10728, 39.9, 14
000000550715.jpg, 0.747098, 0.11387, 43.6, 2
000000235143.jpg, 0.366528, 0.13089, 46.6, 2
000000546336.jpg, 0.461327, 0.11579, 45.2, 2
000000137720.jpg, 0.686464, 0.11432, 44.0, 5
000000317636.jpg, 0.562538, 0.17037, 42.5, 7
000000402907.jpg, 0.778426, 0.11686, 44.3, 3
000000214125.jpg, 0.547945, 0.12075, 46.6, 11
000000426048.jpg, 0.925511, 0.12170, 44.2, 1
000000062944.jpg, 0.695696, 0.12643, 42.0, 6
000000182120.jpg, 0.851298, 0.12284, 43.1, 2
000000360692.jpg, 0.696875, 0.11807, 45.4, 3
000000150940.jpg, 0.552495, 0.11548, 46.6, 16
000000077798.jpg, 0.751205, 0.12761, 44.0, 2
000000196886.jpg, 0.714990, 0.14409, 44.5, 6
000000010288.jpg, 0.476404, 0.12255, 44.8, 3
000000532597.jpg, 0.556785, 0.12770, 41.8, 3
000000510862.jpg, 0.649901, 0.11679, 47.6, 8
000000406464.jpg, 0.540930, 0.22338, 63.4, 3
000000070506.jpg, 0.599315, 0.13698, 57.1, 3
000000357376.jpg, 0.598289, 0.14358, 52.8, 24
000000089302.jpg, 0.496149, 0.12840, 55.9, 12
000000284162.jpg, 0.658708, 0.12710, 47.4, 4
000000276234.jpg, 0.665274, 0.12566, 46.6, 5
000000139061.jpg, 0.728474, 0.12839, 44.8, 4
000000231968.jpg, 0.712346, 0.11744, 42.2, 6
000000528942.jpg, 0.906120, 0.11562, 46.5, 1
000000196913.jpg, 0.682754, 0.11425, 47.8, 11
000000443309.jpg, 0.553154, 0.12111, 44.2, 17
000000156758.jpg, 0.704101, 0.12439, 42.3, 8
000000119692.jpg, 0.561883, 0.11970, 46.8, 15
000000286337.jpg, 0.603086, 0.11844, 45.2, 2
000000454034.jpg, 0.593032, 0.11693, 45.5, 16
000000168743.jpg, 0.506088, 0.11451, 43.9, 10
000000495952.jpg, 0.547837, 0.12152, 42.5, 8
000000182421.jpg, 0.870498, 0.12579, 47.5, 2
000000014024.jpg, 0.835597, 0.11620, 43.3, 2
000000465971.jpg, 0.676173, 0.11542, 48.4, 9
000000292565.jpg, 0.673146, 0.12307, 46.7, 1
000000013958.jpg, 0.726684, 0.11697, 46.5, 1
000000392900.jpg, 0.692472, 0.11667, 48.5, 16
000000568350.jpg, 0.903721, 0.11352, 48.9, 2
000000569882.jpg, 0.584344, 0.11700, 46.5, 1
000000024075.jpg, 0.522649, 0.12681, 44.8, 6
000000273530.jpg, 0.835669, 0.11963, 51.0, 2
000000249568.jpg, 0.467955, 0.11676, 49.2, 12
000000236608.jpg, 0.729995, 0.12428, 48.3, 8
000000380805.jpg, 0.816798, 0.11761, 44.6, 2
000000540441.jpg, 0.537417, 0.12276, 46.5, 4
000000354230.jpg, 0.502867, 0.13802, 43.1, 2
000000220612.jpg, 0.512149, 0.11681, 45.7, 7
000000160526.jpg, 0.565141, 0.12434, 46.8, 9
000000312664.jpg, 0.812513, 0.11956, 48.5, 8
000000052327.jpg, 0.604782, 0.11705, 46.3, 29
000000176438.jpg, 0.775017, 0.11324, 41.7, 1
000000339033.jpg, 0.854815, 0.11911, 41.8, 1
000000120469.jpg, 0.701795, 0.12129, 43.7, 4
000000245395.jpg, 0.589104, 0.12398, 48.0, 19
000000533740.jpg, 0.386820, 0.12076, 47.9, 4
000000128129.jpg, 0.720976, 0.15816, 49.4, 6
000000405124.jpg, 0.551602, 0.11453, 47.1, 4
000000303384.jpg, 0.794509, 0.12483, 45.3, 4
000000224591.jpg, 0.467677, 0.12566, 45.4, 13
000000373680.jpg, 0.945705, 0.13343, 46.6, 2
000000131177.jpg, 0.448849, 0.11419, 41.0, 2
000000121544.jpg, 0.515151, 0.11275, 48.7, 3
000000023324.jpg, 0.530345, 0.12017, 48.0, 3
000000161297.jpg, 0.940350, 0.11756, 45.0, 1
