Image,Avg. Confidence,Response Time(s),CPU Consumption(%),Detection boxes,SKMeans_Cluster
000000020806.jpg,0.628034,0.041,15.3,2,1
000000503824.jpg,0.825638,0.03758,24.6,1,1
000000262547.jpg,0.341658,0.03166,33.3,8,0
000000550715.jpg,0.564103,0.03456,25.5,2,0
000000235143.jpg,0.0,0.04102,31.3,0,1
000000546336.jpg,0.346901,0.03117,29.8,4,0
000000137720.jpg,0.688234,0.03593,28.6,3,1
000000317636.jpg,0.624,0.04409,33.3,2,1
000000402907.jpg,0.631357,0.02978,34.0,3,0
000000214125.jpg,0.341559,0.02974,42.6,8,0
000000426048.jpg,0.824864,0.03217,28.6,1,0
000000062944.jpg,0.511961,0.03242,34.6,6,0
000000182120.jpg,0.709604,0.03169,38.6,2,0
000000360692.jpg,0.720031,0.03039,36.0,2,0
000000150940.jpg,0.467834,0.03285,29.4,9,0
000000077798.jpg,0.669829,0.03343,32.1,1,0
000000196886.jpg,0.555978,0.03671,14.9,5,1
000000010288.jpg,0.348574,0.03354,36.8,1,0
000000532597.jpg,0.252511,0.03355,36.8,1,0
000000510862.jpg,0.423256,0.03326,39.6,5,0
000000406464.jpg,0.316303,0.04037,30.0,1,1
000000070506.jpg,0.667818,0.03397,26.9,1,0
000000357376.jpg,0.588515,0.0315,29.8,16,0
000000089302.jpg,0.573183,0.02923,22.5,8,0
000000284162.jpg,0.634161,0.02894,37.0,3,0
000000276234.jpg,0.562391,0.0319,29.2,4,0
000000139061.jpg,0.676809,0.03239,34.6,3,0
000000231968.jpg,0.605683,0.02971,37.3,2,0
000000528942.jpg,0.598714,0.02812,39.6,1,0
000000196913.jpg,0.478072,0.02752,30.0,6,0
000000443309.jpg,0.503286,0.03127,22.7,12,0
000000156758.jpg,0.479297,0.03073,37.3,6,0
000000119692.jpg,0.426603,0.03003,36.7,18,0
000000286337.jpg,0.577037,0.02937,27.9,2,0
000000454034.jpg,0.596729,0.03058,31.2,10,0
000000168743.jpg,0.419051,0.02967,28.9,4,0
000000495952.jpg,0.440806,0.03107,25.0,5,0
000000182421.jpg,0.77895,0.02936,42.3,2,0
000000014024.jpg,0.401995,0.03118,32.0,2,0
000000465971.jpg,0.559043,0.03121,40.0,7,0
000000292565.jpg,0.678074,0.03164,31.2,1,0
000000013958.jpg,0.477089,0.03201,32.7,1,0
000000392900.jpg,0.584349,0.0325,33.3,12,0
000000568350.jpg,0.772637,0.03059,37.7,3,0
000000569882.jpg,0.0,0.03381,30.9,0,0
000000569882.jpg,0.0,0.03381,30.9,0,0
000000569882.jpg,0.0,0.03381,30.9,0,0
000000569882.jpg,0.0,0.03381,30.9,0,0
000000569882.jpg,0.0,0.03381,30.9,0,0
000000569882.jpg,0.0,0.03381,30.9,0,0
000000569882.jpg,0.0,0.03381,30.9,0,0
000000533740.jpg,0.0,0.03381,42.2,0,0
000000533740.jpg,0.0,0.03381,42.2,0,0
000000533740.jpg,0.0,0.03381,42.2,0,0
000000533740.jpg,0.0,0.03381,42.2,0,0
000000533740.jpg,0.0,0.03381,42.2,0,0
000000533740.jpg,0.0,0.03381,42.2,0,0
000000533740.jpg,0.0,0.03381,42.2,0,0
000000422372.jpg,0.0,0.03381,35.6,0,0
000000422372.jpg,0.0,0.03381,35.6,0,0
000000422372.jpg,0.0,0.03381,35.6,0,0
000000422372.jpg,0.0,0.03381,35.6,0,0
000000422372.jpg,0.0,0.03381,35.6,0,0
000000422372.jpg,0.0,0.03381,35.6,0,0
000000422372.jpg,0.0,0.03381,35.6,0,0
000000322514.jpg,0.0,0.03381,40.3,0,0
000000322514.jpg,0.0,0.03381,40.3,0,0
000000322514.jpg,0.0,0.03381,40.3,0,0
000000322514.jpg,0.0,0.03381,40.3,0,0
000000322514.jpg,0.0,0.03381,40.3,0,0
000000322514.jpg,0.0,0.03381,40.3,0,0
000000322514.jpg,0.0,0.03381,40.3,0,0
000000416713.jpg,0.0,0.03381,33.9,0,0
000000416713.jpg,0.0,0.03381,33.9,0,0
000000416713.jpg,0.0,0.03381,33.9,0,0
000000416713.jpg,0.0,0.03381,33.9,0,0
000000416713.jpg,0.0,0.03381,33.9,0,0
000000416713.jpg,0.0,0.03381,33.9,0,0
000000416713.jpg,0.0,0.03381,33.9,0,0
000000317387.jpg,0.0,0.03381,22.4,0,0
000000317387.jpg,0.0,0.03381,22.4,0,0
000000317387.jpg,0.0,0.03381,22.4,0,0
000000317387.jpg,0.0,0.03381,22.4,0,0
000000317387.jpg,0.0,0.03381,22.4,0,0
000000317387.jpg,0.0,0.03381,22.4,0,0
000000317387.jpg,0.0,0.03381,22.4,0,0
000000352898.jpg,0.0,0.03381,26.0,0,0
000000352898.jpg,0.0,0.03381,26.0,0,0
000000352898.jpg,0.0,0.03381,26.0,0,0
000000352898.jpg,0.0,0.03381,26.0,0,0
000000352898.jpg,0.0,0.03381,26.0,0,0
000000352898.jpg,0.0,0.03381,26.0,0,0
000000352898.jpg,0.0,0.03381,26.0,0,0
000000024075.jpg,0.461285,0.03006,30.4,3,0
000000273530.jpg,0.525289,0.03129,40.0,2,0
000000249568.jpg,0.441135,0.03208,32.7,8,0
000000236608.jpg,0.608766,0.03189,24.4,6,0
000000380805.jpg,0.588012,0.02967,36.7,2,0
000000540441.jpg,0.26788,0.03163,36.5,2,0
000000354230.jpg,0.321508,0.03464,24.5,2,1
000000220612.jpg,0.469239,0.03016,28.9,5,0
000000160526.jpg,0.485008,0.02865,38.8,6,0
000000312664.jpg,0.636572,0.0285,35.6,5,0
000000052327.jpg,0.61666,0.02924,39.2,17,0
000000176438.jpg,0.0,0.03392,35.6,0,0
000000176438.jpg,0.0,0.03392,35.6,0,0
000000176438.jpg,0.0,0.03392,35.6,0,0
000000176438.jpg,0.0,0.03392,35.6,0,0
000000176438.jpg,0.0,0.03392,35.6,0,0
000000482345.jpg,0.0,0.03392,30.4,0,0
000000482345.jpg,0.0,0.03392,30.4,0,0
000000482345.jpg,0.0,0.03392,30.4,0,0
000000482345.jpg,0.0,0.03392,30.4,0,0
000000482345.jpg,0.0,0.03392,30.4,0,0
000000028436.jpg,0.0,0.03392,31.5,0,0
