Image,Avg. Confidence,Response Time(s),CPU Consumption(%),Detection boxes,SKMeans_Cluster
000000020806.jpg,0.781507,0.06759,24.0,2,0
000000503824.jpg,0.761492,0.05815,35.2,3,0
000000262547.jpg,0.377796,0.05501,40.4,18,0
000000550715.jpg,0.670715,0.05966,38.8,2,0
000000235143.jpg,0.30884,0.06175,37.5,1,0
000000546336.jpg,0.518907,0.05822,34.5,3,0
000000137720.jpg,0.777977,0.05942,40.0,4,0
000000317636.jpg,0.613093,0.08328,40.4,4,1
000000402907.jpg,0.824162,0.0582,33.7,3,0
000000214125.jpg,0.508003,0.06127,42.2,10,0
000000426048.jpg,0.842336,0.06602,40.9,1,0
000000062944.jpg,0.592703,0.06365,36.0,7,0
000000182120.jpg,0.816074,0.0603,35.2,2,0
000000360692.jpg,0.79061,0.05837,39.6,2,0
000000150940.jpg,0.585598,0.06067,34.7,13,0
000000077798.jpg,0.580761,0.06119,40.6,1,0
000000196886.jpg,0.639564,0.07065,39.5,5,1
000000010288.jpg,0.515972,0.06068,43.7,4,0
000000532597.jpg,0.439592,0.05874,37.0,3,0
000000510862.jpg,0.596107,0.05757,37.1,7,0
000000406464.jpg,0.679616,0.07925,36.8,1,1
000000070506.jpg,0.824685,0.06095,41.7,1,0
000000357376.jpg,0.592653,0.0604,36.7,21,0
000000089302.jpg,0.549066,0.06023,37.9,7,0
000000284162.jpg,0.61372,0.06442,42.9,4,0
000000276234.jpg,0.640727,0.06376,35.1,4,0
000000139061.jpg,0.577667,0.06312,40.4,5,0
000000231968.jpg,0.588245,0.06055,35.5,5,0
000000528942.jpg,0.908638,0.0609,38.8,1,0
000000196913.jpg,0.64085,0.0578,44.0,10,0
000000443309.jpg,0.577392,0.05758,34.5,13,0
000000156758.jpg,0.606026,0.06414,27.8,8,0
000000119692.jpg,0.575994,0.06207,39.2,13,0
000000286337.jpg,0.645104,0.06153,40.4,2,0
000000454034.jpg,0.445888,0.06009,32.2,31,0
000000168743.jpg,0.422332,0.05997,31.0,8,0
000000495952.jpg,0.456037,0.06267,32.0,9,0
000000182421.jpg,0.789758,0.062,38.4,2,0
000000014024.jpg,0.714402,0.06274,40.7,2,0
000000465971.jpg,0.500592,0.0574,35.6,11,0
000000292565.jpg,0.648466,0.06482,33.3,1,0
000000013958.jpg,0.752581,0.05844,34.5,1,0
000000392900.jpg,0.612589,0.06024,37.8,17,0
000000568350.jpg,0.821681,0.06176,35.7,2,0
000000569882.jpg,0.389724,0.0599,41.4,1,0
000000024075.jpg,0.408788,0.06386,33.0,10,0
000000273530.jpg,0.765722,0.06067,43.3,2,0
000000249568.jpg,0.441643,0.06119,37.1,14,0
000000236608.jpg,0.746694,0.06285,41.5,6,0
000000380805.jpg,0.895321,0.05857,36.0,1,0
000000540441.jpg,0.424886,0.06204,42.9,4,0
000000354230.jpg,0.451915,0.06743,31.3,2,0
000000220612.jpg,0.419419,0.05949,43.6,7,0
000000160526.jpg,0.614437,0.06313,34.4,7,0
000000312664.jpg,0.595214,0.06533,30.5,12,0
000000052327.jpg,0.586854,0.06059,39.6,26,0
000000176438.jpg,0.33692,0.06046,40.6,3,0
000000339033.jpg,0.771304,0.06129,37.1,1,0
000000120469.jpg,0.681223,0.05947,40.4,4,0
000000245395.jpg,0.564992,0.06417,41.3,15,0
000000533740.jpg,0.0,0.06568,34.0,0,0
000000128129.jpg,0.682187,0.08065,40.3,6,1
000000405124.jpg,0.66781,0.06569,35.6,2,0
000000303384.jpg,0.625458,0.0616,44.2,4,0
000000224591.jpg,0.456833,0.06424,38.8,11,0
