Image,Avg. Confidence,Response Time(s),CPU Consumption(%),Detection boxes,SKMeans_Cluster
000000255037.jpg,0.731387,0.14513,44.6,5,1
000000428007.jpg,0.69037,0.14699,40.3,22,1
000000361301.jpg,0.552678,0.16447,37.8,22,1
000000227803.jpg,0.821411,0.16592,44.3,2,1
000000280871.jpg,0.65707,0.16622,46.2,6,1
000000274324.jpg,0.524578,0.17238,45.8,11,1
000000495504.jpg,0.416327,0.17292,41.4,1,1
000000502561.jpg,0.471553,0.17433,44.2,11,1
000000548589.jpg,0.511057,0.17484,42.7,9,1
000000486183.jpg,0.734855,0.17555,45.8,3,1
000000207934.jpg,0.738561,0.17574,42.3,7,1
000000213956.jpg,0.342424,0.17862,42.1,8,1
000000289556.jpg,0.505419,0.17935,43.1,5,1
000000378345.jpg,0.65595,0.18109,43.0,9,1
000000343548.jpg,0.541386,0.18816,47.3,35,1
000000453904.jpg,0.879786,0.18854,48.3,3,1
000000527346.jpg,0.699078,0.19147,49.4,6,1
000000016566.jpg,0.604879,0.19289,43.7,15,1
000000198802.jpg,0.554761,0.19313,45.2,12,1
000000362470.jpg,0.91645,0.19471,43.3,4,1
000000426013.jpg,0.305222,0.19509,45.5,3,1
000000426923.jpg,0.699008,0.19589,42.9,15,1
000000529119.jpg,0.567637,0.19607,45.6,18,1
000000140357.jpg,0.507405,0.19617,45.8,19,1
000000552255.jpg,0.800577,0.1964,47.4,4,1
000000518560.jpg,0.923131,0.19694,42.7,1,1
000000558240.jpg,0.865628,0.19723,45.9,1,1
000000177473.jpg,0.607259,0.19752,45.6,20,1
000000575819.jpg,0.500474,0.19882,43.5,2,1
000000270559.jpg,0.872819,0.19919,46.1,2,1
000000224716.jpg,0.599359,0.2056,41.8,7,1
000000350382.jpg,0.320182,0.21055,48.5,1,1
000000090996.jpg,0.694098,0.21437,48.2,28,1
000000171760.jpg,0.635569,0.21504,49.6,15,1
000000404815.jpg,0.536653,0.21574,47.5,9,1
000000158990.jpg,0.598947,0.2179,47.3,3,1
000000317106.jpg,0.900869,0.2181,47.7,3,1
000000504993.jpg,0.525941,0.21834,44.8,6,1
000000533580.jpg,0.792058,0.21839,43.1,4,1
000000167259.jpg,0.685505,0.21842,46.6,14,1
000000358367.jpg,0.685607,0.21874,45.2,13,1
000000299476.jpg,0.537471,0.21904,46.8,9,1
000000519199.jpg,0.464253,0.21927,41.8,17,1
000000121725.jpg,0.639159,0.21932,46.1,15,1
000000393861.jpg,0.78162,0.21949,49.5,8,1
000000544973.jpg,0.514584,0.21952,46.2,11,1
000000366965.jpg,0.645207,0.21963,44.7,15,1
